v_tilde(cm^-1),abs
2996.40234,0.30940
2996.14746,0.29941
2995.89257,0.29111
2995.63769,0.28611
2995.38281,0.28927
2995.12793,0.29720
2994.87304,0.30054
2994.61816,0.29566
2994.36328,0.28722
2994.10839,0.28025
2993.85351,0.27577
2993.59863,0.27280
2993.34375,0.27068
2993.08886,0.26929
2992.83398,0.26848
2992.57910,0.26808
2992.32422,0.26798
2992.06933,0.26806
2991.81445,0.26813
2991.55957,0.26818
2991.30468,0.26837
2991.04980,0.26879
2990.79492,0.26936
2990.54004,0.26992
2990.28515,0.27036
2990.03027,0.27071
2989.77539,0.27111
2989.52050,0.27156
2989.26562,0.27194
2989.01074,0.27234
2988.75586,0.27286
2988.50097,0.27325
2988.24609,0.27335
2987.99121,0.27345
2987.73632,0.27370
2987.48144,0.27375
2987.22656,0.27361
2986.97168,0.27377
2986.71679,0.27408
2986.46191,0.27406
2986.20703,0.27387
2985.95214,0.27381
2985.69726,0.27355
2985.44238,0.27311
2985.18750,0.27304
2984.93261,0.27309
2984.67773,0.27262
2984.42285,0.27212
2984.16797,0.27208
2983.91308,0.27176
2983.65820,0.27095
2983.40332,0.27072
2983.14843,0.27088
2982.89355,0.27013
2982.63867,0.26924
2982.38379,0.26954
2982.12890,0.26979
2981.87402,0.26915
2981.61914,0.26972
2981.36425,0.27171
2981.10937,0.27353
2980.85449,0.28134
2980.59961,0.30650
2980.34472,0.34558
2980.08984,0.37233
2979.83496,0.36799
2979.58007,0.34817
2979.32519,0.33312
2979.07031,0.32234
2978.81543,0.31058
2978.56054,0.30390
2978.30566,0.30830
2978.05078,0.31657
2977.79589,0.31674
2977.54101,0.30727
2977.28613,0.29537
2977.03125,0.28614
2976.77636,0.28009
2976.52148,0.27614
2976.26660,0.27328
2976.01172,0.27105
2975.75683,0.26941
2975.50195,0.26818
2975.24707,0.26715
2974.99218,0.26654
2974.73730,0.26636
2974.48242,0.26608
2974.22754,0.26555
2973.97265,0.26527
2973.71777,0.26532
2973.46289,0.26532
2973.20800,0.26526
2972.95312,0.26537
2972.69824,0.26536
2972.44336,0.26507
2972.18847,0.26490
2971.93359,0.26490
2971.67871,0.26470
2971.42382,0.26435
2971.16894,0.26425
2970.91406,0.26425
2970.65918,0.26401
2970.40429,0.26374
2970.14941,0.26364
2969.89453,0.26344
2969.63964,0.26302
2969.38476,0.26280
2969.12988,0.26276
2968.87500,0.26248
2968.62011,0.26206
2968.36523,0.26190
2968.11035,0.26179
2967.85547,0.26145
2967.60058,0.26119
2967.34570,0.26114
2967.09082,0.26087
2966.83593,0.26046
2966.58105,0.26040
2966.32617,0.26033
2966.07129,0.25982
2965.81640,0.25958
2965.56152,0.25997
2965.30664,0.25997
2965.05175,0.25938
2964.79687,0.25952
2964.54199,0.26019
2964.28711,0.25999
2964.03222,0.26002
2963.77734,0.26199
2963.52246,0.26456
2963.26757,0.26983
2963.01269,0.28891
2962.75781,0.32798
2962.50293,0.36819
2962.24804,0.37666
2961.99316,0.35238
2961.73828,0.32453
2961.48339,0.30721
2961.22851,0.29517
2960.97363,0.28754
2960.71875,0.29110
2960.46386,0.30344
2960.20898,0.31064
2959.95410,0.30509
2959.69922,0.29309
2959.44433,0.28238
2959.18945,0.27473
2958.93457,0.26953
2958.67968,0.26606
2958.42480,0.26337
2958.16992,0.26118
2957.91504,0.25989
2957.66015,0.25904
2957.40527,0.25801
2957.15039,0.25720
2956.89550,0.25694
2956.64062,0.25674
2956.38574,0.25646
2956.13086,0.25645
2955.87597,0.25647
2955.62109,0.25625
2955.36621,0.25625
2955.11132,0.25656
2954.85644,0.25658
2954.60156,0.25638
2954.34668,0.25649
2954.09179,0.25664
2953.83691,0.25652
2953.58203,0.25661
2953.32714,0.25705
2953.07226,0.25724
2952.81738,0.25721
2952.56250,0.25745
2952.30761,0.25766
2952.05273,0.25751
2951.79785,0.25750
2951.54297,0.25780
2951.28808,0.25785
2951.03320,0.25778
2950.77832,0.25813
2950.52343,0.25846
2950.26855,0.25831
2950.01367,0.25834
2949.75879,0.25877
2949.50390,0.25880
2949.24902,0.25856
2948.99414,0.25889
2948.73925,0.25934
2948.48437,0.25918
2948.22949,0.25913
2947.97461,0.25961
2947.71972,0.25977
2947.46484,0.25967
2947.20996,0.26020
2946.95507,0.26073
2946.70019,0.26055
2946.44531,0.26090
2946.19043,0.26206
2945.93554,0.26237
2945.68066,0.26248
2945.42578,0.26457
2945.17089,0.26774
2944.91601,0.27349
2944.66113,0.29258
2944.40625,0.33184
2944.15136,0.37327
2943.89648,0.38368
2943.64160,0.36080
2943.38672,0.33314
2943.13183,0.31523
2942.87695,0.30303
2942.62207,0.29636
2942.36718,0.30106
2942.11230,0.31357
2941.85742,0.32008
2941.60254,0.31377
2941.34765,0.30114
2941.09277,0.28997
2940.83789,0.28224
2940.58300,0.27706
2940.32812,0.27347
2940.07324,0.27071
2939.81836,0.26854
2939.56347,0.26705
2939.30859,0.26605
2939.05371,0.26533
2938.79882,0.26494
2938.54394,0.26472
2938.28906,0.26446
2938.03418,0.26424
2937.77929,0.26411
2937.52441,0.26401
2937.26953,0.26407
2937.01464,0.26429
2936.75976,0.26428
2936.50488,0.26402
2936.25000,0.26404
2935.99511,0.26433
2935.74023,0.26440
2935.48535,0.26435
2935.23047,0.26451
2934.97558,0.26461
2934.72070,0.26444
2934.46582,0.26433
2934.21093,0.26438
2933.95605,0.26438
2933.70117,0.26445
2933.44629,0.26475
2933.19140,0.26488
2932.93652,0.26467
2932.68164,0.26455
2932.42675,0.26456
2932.17187,0.26443
2931.91699,0.26442
2931.66211,0.26466
2931.40722,0.26462
2931.15234,0.26425
2930.89746,0.26430
2930.64257,0.26468
2930.38769,0.26467
2930.13281,0.26451
2929.87793,0.26472
2929.62304,0.26488
2929.36816,0.26472
2929.11328,0.26476
2928.85839,0.26488
2928.60351,0.26459
2928.34863,0.26442
2928.09375,0.26474
2927.83886,0.26470
2927.58398,0.26433
2927.32910,0.26475
2927.07422,0.26544
2926.81933,0.26540
2926.56445,0.26605
2926.30957,0.26836
2926.05468,0.27139
2925.79980,0.27953
2925.54492,0.30285
2925.29004,0.34016
2925.03515,0.36769
2924.78027,0.36354
2924.52539,0.33941
2924.27050,0.31835
2924.01562,0.30515
2923.76074,0.29580
2923.50586,0.29322
2923.25097,0.30042
2922.99609,0.30950
2922.74121,0.30951
2922.48632,0.30058
2922.23144,0.29034
2921.97656,0.28269
